split,sentence1,sentence2,score
train,FRIENDS of Robert De Niro yesterday rallied around him after he was diagnosed with prostate cancer.,BlueCore3-Multimedia contains an open platform DSP co-processor and also includes a 16-bit stereo audio codec with dual ADC and DAC for stereo audio.,3.4
train,"Agents found more than 1,000 credit cards and credit card duplicating machines during a search of Ragin's address.","The Hulk trailed last month's Marvel Comics adaptation, X2: X-Men United, which grossed $85.6-million in its opening weekend.",4.2
train,"On May 1, he crawled through a narrow, winding canyon, rappelled down a 60-foot cliff and walked some six miles down the canyon.","Vermillion, Posey and Madison County populations will decline.",5.0
train,"The latest snapshot of the labor markets was slightly better than economists were expecting; they were forecasting claims to fall no lower than 410,000 for last week.","The team has named the sensor Canary, for cellular analysis and notification of antigen risks and yields.",1.5
train,"""I notice a mood change in their priorities,"" one politician said.","Shares in BA were down three percent at 165-1/4 pence by 0933 GMT, off a low of 164 pence, in a stronger market.",2.5
train,"The American Anglican Council, which represents Episcopalian conservatives, said it will seek authorization to create a separate group.","The FBI, CIA, Canadian Security Intelligence Service and Royal Canadian Mounted Police declined to comment on the Washington Times report.",4.8
train,"Doctors had planned to deliver him two weeks early, on or around November 14.","The virus spreads when unsuspecting computer users open file attachments in emails that contain familiar headings like ""Thank You!"" and ""Re: Details"".",2.8
train,Oracle Corp's Chairman and CEO Larry Ellison didn't rule out sweetening the company's unsolicited offer to acquire rival PeopleSoft Inc.,"Excluding patent litigation, RIM's loss for the quarter was $700,000, or 1 cent per share.",3.6
train,"Mr. Heatley, who suffered a broken jaw and torn knee ligaments, faces several charges.","Texas Instruments climbed $US1.37 to $US19.25 and Novellus Systems advanced $US1.76 to $US36.31, each having been raised to ""overweight"" by Lehman.",5.0
train,But church members and observers say they expect that the decision could be problematic for many Episcopalians.,Ankara says all four suicide bombers were Turkish.,4.2
train,It later emerged that he had broken his right thigh and bones in his right wrist and elbow.,"He moved to Syria, where he underwent further religious training in traditional Islamic beliefs.",3.25
train,"Kroger Co., which owns Ralphs, and Albertsons Inc. bargain jointly with Safeway and locked out their union workers the next day.","ESPN reported that Knight's two-year deal is worth $2.38 million, including a $300,000 signing bonus.",2.4
train,"Gemstar's shares gathered up 2.6 percent, adding 14 cents to $5.49 at the close.",The vulnerability exists in the way Microsoft's Visual Basic for Applications checks document properties passed to it when a document is opened.,3.5
train,"In addition, the Justice Department said that the FBI has conducted ''fewer than 10'' investigations involving visits to mosques.","In that case, the court held that the city of Cincinnati had violated the First Amendment in banning, in the interest of aesthetics, only the advertising pamphlets.",3.5
train,The ADRs fell 10 cents to $28.95 at 10:06 a.m. in New York Stock Exchange composite trading today.,Tour doctors later confirmed that he had broken his right leg near the hip and also sustained wrist and elbow fractures.,5.0
train,July 1st is the sixth anniversary of Hong Kong's return to Chinese rule.,"Organizers established a Web site, http://defacerschallenge.com, listing in broken English the rules for hackers who might participate.",3.5
train,"Lawyers and others familiar with the federal investigation say it remains focused on Campbell, though prosecutors declined to discuss the probe.","Nine seconds later, SpaceShipOne broke the sound barrier, the company said.",3.333
train,John Hickenlooper had 65 percent of the vote to 35 percent for City Auditor Don Mares.,He said the attackers left behind leaflets urging workers at the Ishtar Sheraton to stop working at the hotel.,4.0
train,A divided Supreme Court ruled Monday that Congress can force the nation's public libraries to equip computers with anti-pornography filters.,"""What is happening here is that people who have opposed this action throughout are trying to find fresh reasons why it was not the right thing to do.""",2.769
train,Albertsons and Kroger's Ralphs chain locked out their workers in response.,"With 97 percent of precincts counted tonight, 68 percent of voters opposed the tax.",3.0
train,"Still, the ""somewhat ambiguous ruling"" might be a setback for Static Control depending on how it developed its competing product, Merrill Lynch analyst Steven Milunovich said.","Early Monday, insurgents threw a homemade bomb at a U.S. convoy in northern Baghdad, killing an American soldier.",3.25
train,"In morning trading, the Dow Jones industrial average was up 40.12, or 0.5 percent, at 8,571.69, having fallen 51 points Monday.",Israeli soldiers began tearing down settlement outposts in the West Bank yesterday - an Israeli obligation under a new Mideast peace plan.,2.4
train,Waksal has pleaded guilty to securities fraud and is to be sentenced next week.,Sources in the racing industry said Fontana will get a second NASCAR race on Labor Day weekend starting next season.,3.25
train,"Those conversations had not taken place as of Tuesday night, according to an Oracle spokeswoman.","It added it had ""co-operated fully"" with police since November.",4.4
train,"The broader Standard & Poor's 500 Index .SPX rose 3.47 points, or 0.36 percent, to 977.59.",The privately held Google is believed to be profitable.,4.176
train,"The Standard & Poor's 500 Index slipped 4.77, or 0.5 percent, to 929.62.","Six new Krispy Kreme stores were opened in the first quarter, bringing the total number of stores to 282.",4.0
train,"""Further testing is still under way, but at this stage, given the early detection, the outlook in such instances would be positive,"" the specialist said yesterday.","The battle around VeriSign""s three-week-old Site Finder service rages on.",0.25
train,OPEC producers at a meeting on Wednesday are set to pressure independent oil exporters to contribute to the cartel's next supply cut to allow for the return of Iraqi oil.,"Innocent or not, ""she's damaged goods,"" said Howard Davidowitz, chairman of Davidowitz & Associates, a national retail consulting firm in New York.",3.2
train,"U.S. forces struck dozens of targets on Monday, killing six guerrillas and arresting 21 others, the military said.",The charges of espionage and aiding the enemy can carry the death penalty.,3.75
train,Higher courts have ruled that the tablets broke the constitutional separation of church and state.,"The boy fired once into a wall and sprayed the room with fire extinguishers, making it hard to see, the chief said.",3.0
train,The device plays Internet radio streams and comes with a 30-day trial of RealNetworks' Rhapsody music service.,"Said Mr. Burke: ""It was a textbook landing considering the circumstances.""",3.8
train,The bank's shares fell 45 cents in trading yesterday to $91.51 per share.,The New Democrats also renewed their commitment to no health-care privatization and no premiums.,3.75
train,"""It is about a third of what I owe in the world,"" he told reporters.","The network will drop one edition of ""Dateline,"" its newsmagazine franchise.",3.0
train,The weakness exists in the way that VBA looks at the properties of documents passed to it when the document is opened by a host application.,"The technology-laced Nasdaq Composite Index .IXIC was up 7.42 points, or 0.45 percent, at 1,653.44.",4.5
train,"Palm Wednesday announced plans to acquire Handspring, a company started by Jeff Hawkins, regarded by many as the father of the Palm handheld.","The report also claims that there will be up to 9.3 million visitors to hot spots this year, up again from the meagre 2.5 million in 2002.",3.6
train,He also recruited others to participate in the scheme by convincing them to receive fraudulently obtained merchandise he had ordered for himself.,"""MediaMax performs EXACTLY as ""advertised"" to the companies who purchased it,"" Jacobs said in the statement.",3.8
train,"Only New Jersey now bans holders of learners permits or intermediate licenses from using cell phones, pagers or other wireless devices while driving.",He and the other lawyers planned to stay until the river starts receding.,3.4
train,"The best-performing stock was Altria Group Inc., which rose more than 27 percent to close at $42.31 a share.","The crates are full of hardback copies of ""Harry Potter and the Order of the Phoenix.""",3.4
train,"Counties with population declines will be Vermillion, Posey and Madison.",The product also streams Internet radio and comes with a 30-day free trial for RealNetworks' Rhapsody digital music subscription service.,4.8
train,"Aventis, based in Strasbourg, France, is one of a handful of companies that still make the flu vaccine.","In Nairobi, the provost of All Saints Cathedral, the Very Reverend Peter Karanja, said the US Episcopal Church was alienating itself from the Anglican Communion.",3.6
train,Express Scripts ESRX.O shares fell 3.6 percent to close at $66.89 on the Nasdaq.,"The Korean Air deal is expected to be finalized ""in the next several weeks,"" Boeing spokesman Bob Saling said.",4.0
train,"MediaQ's customers include major handheld makers Mitsubishi, Siemens, Palm, Sharp, Philips, Dell and Sony.","To force a recall election of Davis, the valid signatures of 897,158 registered California voters must be turned in to election officials.",5.0
train,Hilsenrath and Klarman each were indicted on three counts of securities fraud.,"CBS said the show ""does not present a balanced portrayal of the Reagans for CBS and its audience.",3.2
train,He claimed Red Hat and the Free Software Foundation with trying to undermine U.S. copyright and patent law.,"The academy will get its own internal report next week and it will be made public, Rosa said.",2.4
train,"WORLD No. 2 Lleyton Hewitt has accused the Association of Tennis Professionals of malice, including an alleged attempt last year to dupe him into refusing a drug test.","Doctors concluded Erbitux, the cancer drug that enmeshed ImClone Systems in an insider trading scandal, worked just as well as an earlier company-sponsored study said it did.",3.6
train,"In connection with the incident, I have acknowledged that I behaved inappropriately.""","In late-morning trading on the Nasdaq Stock Market, Corixa was up 74 cents, or 10%, at $7.94.",4.0
train,"The 30-year bond US30YT=RR firmed 31/32, taking its yield to 4.16 percent -- another record low -- from 4.22 percent.",Analysts polled by Thomson Financial First Call had been expected to see a loss of about 11 cents a share from continuing operations.,2.5
train,"The network is also dropping its Friday night ""Dateline"" edition.",Two federal agencies are investigating telecommunications gear maker Lucent Technologies for possible violations of U.S. bribery laws in its operations in Saudi Arabia.,3.25
train,"Police then called a bomb squad, but the device exploded, killing Wells, before bomb technicians arrived.",The countys first and only human case of West Nile this year was confirmed by health officials on Sept. 8.,3.333
train,"The boy also sprayed the room full of retardant from fire extinguishers, which made it hard to see, the chief said.",Shortness was found twice as often in those with hearing loss.,1.75
train,A federal grand jury indicted them on Tuesday; the document was sealed until yesterday to allow authorities to make arrests.,"In addition, the NTSB also recommended to NHTSA that state legislation be enacted to prohibit holders of learners permits and intermediate licenses from using mobile phones while driving.",3.5
train,"Gartner's report said global WLAN equipment shipments reached 19.5 million last year, a 120 percent increase over 2001's 8.9 million units.","The MSN Messenger 6 software will be available from 11 a.m. PST on Wednesday, according to Microsoft.",3.6
train,"Site Finder has been visited 65 million times since its introduction, Galvin said.",The results are to be published in Wednesday's issue of The Journal of the American Medical Association.,3.75
train,Mr. Turner transferred about 10 million shares to a charitable trust before they were sold.,"The damaged area of the garage was not stable, with ``the real potential for a secondary collapse,'' McGreevey said.",3.2
train,Lay had argued that handing over the documents would be a violation of his Fifth Amendment rights against self-incrimination.,"Republicans had pledged to complete a Medicare drug package by August, then extended it to Oct. 17.",4.25
train,Microsoft has identified the freely distributed Linux software as one of the biggest threats to its sales.,"BA said the second quarter, which included unofficial industrial action at Heathrow, had been difficult.",3.4
train,Schofield got Toepfer to admit on cross-examination that she ignored many of O'Donnell's suggestions and projects.,Harry Potter's latest wizard trick?,3.0
train,"Excluding litigation charges, RIM's loss narrowed even further to 1 cent a share.","In 2006, Asia Pacific will report growth of 7.9 percent to $81.8 billion.",3.25
train,"Shares of Corixa were gaining 71 cents, or 10%, to $7.91 on the Nasdaq.",The judge scheduled another oversight hearing for late January.,3.0
train,"The new policy gives greatest weight to grades, test scores and a student's high school curriculum.","The helicopter was owned by Las Vegas-based Sundance Helicopters Inc., according to the sheriff's office.",3.75
train,"Besides Hampton and Newport News, the grant funds water testing in Yorktown, King George County, Norfolk and Virginia Beach.","Wells' other series include NBC's ""ER"" and ""Third Watch.""",3.0
train,"""We put a lot of effort and energy into improving our patching process, probably later than we should have and now we're just gaining incredible speed.",A spokesman for SCO could not be reached for comment this afternoon.,4.0
train,"""Americans don't cut and run, we have to see this misadventure through,"" she said.",But neither he nor Peace Rules could keep Funny Cide from drawing away.,3.5
train,"""But HRT should not be used to prevent heart disease or any other chronic condition.""","Sunnis make up 77 percent of Pakistan's population, Shiites 20 percent.",2.4
train,"On Monday, as first reported by CNET News.com, the RIAA withdrew a DMCA notice to Penn State University's astronomy and astrophysics department.","""I have acknowledged that I behaved inappropriately,"" he said.",4.5
train,"Still, he said, ""I'm absolutely confident we're going to have a bill.""","The currency briefly weakened on Monday morning but rebounded to trade at 55.25/29, little changed from Friday.",2.8
train,INTEL TODAY disclosed details of its next-generation XScale processor for mobile phones and handheld devices here in San Jose.,"Bremer, 61, is a former assistant to former Secretaries of State William P. Rogers and Henry Kissinger.",3.176
train,Scientists believed Stardust trapped thousands of particles of dust.,"""I know this sounds counterintuitive, but it's true: City-grown pollution -- and ozone in particular -- is tougher on country trees,"" U.S. ecologist Jillian Gregg said.",3.4
train,"From the start, however, the United States' declared goal was not just to topple Saddam but to stabilize Iraq and install a friendly government.",But other sources close to the sale said Vivendi was keeping the door open for further bids in the next day or two.,4.0
train,"A promotional poster, complete with countdown dial, reminds readers of the upcoming release of ""Harry Potter and the Order of the Phoenix.""","""The clear message is it should not be used to prevent cardiovascular disease,"" Manson said.",3.5
train,"He was referring to John S. Reed, the former Citicorp chief executive who became interim chairman and chief executive of the exchange last Sunday .",He refused to say what percentage of domestic flights had security officers on board.,5.0
train,"In that case, the court held that Cincinnati had violated the First Amendment in banning only the advertising pamphlets in the interest of aesthetics.","Playwright George Axelrod, who anticipated the sexual revolution with The Seven Year Itch and Will Success Spoil Rock Hunter?",3.2
train,"Roy Moore, the suspended chief justice of the Alabama Supreme Court, stood accused but unrepentant Wednesday in the same courtroom he recently presided over.",The world's first portal potty was soon to be rolled out at summer festivals in Great Britain.,2.667
train,Argentine Guillermo Coria and Netherlander Martin Verkerk are in the other half.,"The European Commission, the EU's powerful executive body, described the move as ""legally unwarranted, economically unfounded and politically unhelpful.""",3.6
train,"Now, with the agency's last three shuttles grounded in the wake of the Columbia disaster, that wait could be even longer.","The grant also funds beach testing in King George County, Norfolk and Virginia Beach.",3.5
train,"""I'm real excited to be a Cleveland Cavalier,"" James said.","""This case is wholly without merit, both factually and legally,"" Judge Denny Chin scoffed.",3.75
train,"Halabi's military attorney, Air Force Maj. James Key, denied the charges, which could carry a death penalty.","The technology-laced Nasdaq Composite Index <.IXIC> climbed 19.11 points, or 1.2 percent, to 1,615.02.",4.75
train,"That triggered a 47-hour police standoff that inconvenienced thousands of commuters, as traffic backed up in Downtown Washington and northern Virginia.",Missouri Education Commissioner Kent King said he was disappointed by the scores.,4.0
train,Fighting erupted after four North Korean journalists confronted a dozen South Korean activists protesting human rights abuses in the North outside the main media centre.,They say second-quarter earnings reports will be key in giving investors that guidance.,3.333
train,VeriSign introduced its Site Finder service on Sept. 15.,"The government did not identify the taikonauts -- a term coined from taikong, the Chinese word for space.",2.6
train,He had been arrested twice before for trespassing and barred from the complex - home to his mother and two children.,Their belief was based on speculation that estrogen prevents cell damage and improves blood flow.,4.2
train,"""This is an easy case in my view and wholly without merit, both factually and legally.""","Further out the curve, the benchmark 10-year note US10YT=RR shed 18/32 in price, taking its yield to 3.24 percent from 3.17 percent.",2.8
train,"The Dow Jones industrial average .DJI ended up 56.79 points, or 0.67 percent, at 8,588.36 -- its highest level since January 17.",Trouble flared when at least four North Korean reporters rushed from the Taegu media centre to confront a dozen activists protesting against human rights abuses in the North.,3.2
train,"Bulger's brother is now on the agency's ''10 Most Wanted'' list, sought in connection with 21 murders.",Oracle chairman Larry Ellison has hinted that the company could yet again increase its offer for rival PeopleSoft.,4.0
train,Shares of McDonald's Corp. and Wendy's International Inc. continued a modest run-up on the New York Stock Exchange Monday.,"Shares of EDS closed Thursday at $18.51, up 6 cents on the New York Stock Exchange.",3.6
train,No. 2 HP saw its Unix server sales dropped 3.6 percent to $1.36 billion.,"""I notice a mood change in their priorities,"" said one Iraqi politician after meeting with Mr. Bremer.",2.0
train,Supermarket chains facing a possible grocery clerk strike this week accused union leaders Monday of breaking off contract talks prematurely over the weekend.,"That was the biggest drop since August 1993 and stemmed from falling prices for cars, trucks, men's and boys' clothes and cigarettes.",3.2
train,Russ Britt is the Los Angeles Bureau Chief for CBS.MarketWatch.com.,"Rambus Inc. (nasdaq: RMBS - news - people) shot up 38 percent, making it the biggest percentage gainer on the Nasdaq.",2.0
train,"The CWA, which represents more than 2,300 Comcast employees, called that excessive when a typical union employee makes about $27,000 a year.",Home Depot reported a 22 percent jump in third-quarter profit behind a nearly 8 percent rise in same-store sales.,3.2
train,There are 103 Democrats in the Assembly and 47 Republicans.,"There were 293 human cases of West Nile in Indiana in 2002, including 11 deaths statewide.",3.4
train,"""City-grown pollution, and ozone in particular, is tougher on country trees,"" says Cornell University ecologist Jillian Gregg.",She took the highly unusual step of skipping cabinet to attend a meeting with the presidents of Rwanda and Uganda.,0.8
train,"Officials are trying to retrieve the bodies from the water,"" police officer J.D. Tambe told Reuters, adding 26 of the dead were women.","Asked if he felt any regret about theOctober 12 attack, the answer was an adamant ""no"".",2.75
train,AirTran officials and a Boeing official declined to comment yesterday.,"""We condemn this raid which is in our view illegal and morally and politically unjustifiable,"" London-based NCRI official Ali Safavi told Reuters by telephone.",4.6
train,The support will come as a free software upgrade called WebVPN for current customers that have support contracts.,"Bulger's brother, a former FBI informant, is now on the law enforcement agency's ""10 Most Wanted"" list.",4.4
train,"The updated products include Pylon Pro, Pylon Conduit, Pylon Anywhere, and Pylon Application Server.","Dennehy, who transferred to Baylor last year after getting kicked off the University of New Mexico Lobos for temper tantrums, became a born-again Christian in June 2002.",3.8
train,The world's two largest automakers said their U.S. sales declined more than predicted last month as a late summer sales frenzy caused more of an industry backlash than expected.,"LIPA Chairman Richard Kessel said that meant the cable could be used ""as we see fit.",1.75
train,"The American decision provoked an angry reaction from the European Commission, which described the move as ""legally unwarranted, economically unfounded and politically unhelpful"".","When Ragin's address was raided, authorities found more than 1,000 credit cards and duplicating machines.",3.25
train,Sequent representatives could not immediately be reached for comment on the SCO announcement.,"U.S. officials did not say whether American forces, who were acting on intelligence, crossed into Syrian territory and were vague about how the Syrian guards were involved.",2.4
train,Looking to buy the latest Harry Potter?,"If draining the ponds in Maryland will further help establish Steve's innocence, we welcome it.""",3.6
train,Graham is expected to be nominated and elected to a second one-year term today and will deliver the presidential address.,"The Dow Jones industrial average .DJI jumped 2.09 percent, while the Standard & Poor's 500 Index .SPX leapt 2.23 percent.",3.25
train,"The tech-loaded Nasdaq composite rose 20.96 points to 1595.91, ending at its highest level for 12 months.",The news also comes in conjunction with Suns annual JavaOne developers conference in San Francisco.,4.0
train,"Nationally, the federal Centers for Disease Control and Prevention recorded 4,156 cases of West Nile, including 284 deaths.","Details on pricing will be announced within a few weeks, McBride said.",3.0
train,National Breast Cancer Centre chief executive Professor Christine Ewan said it was too early to quantify the risk to women.,"Harvey was taken to St. Luke's Hospital for precautionary neck X-rays, which came back negative.",3.25
train,"""Whatever has happened to you by way of punishment is certainly more than enough,"" Covello told the 49-year-old, whose family, friends and supporters filled half the courtroom.","The crates are full of hardback copies of ""Harry Potter and the Order of the Phoenix.""",3.25
train,Forecasters said warnings might go up for Cuba later Thursday.,Federal officials said the document remained sealed until Thursday morning to allow authorities to make arrests in five Western states.,4.4
train,Both devices implement the v1.2 standard's eSCO facility to provide the basis for new cordless telephony applications.,Emily Church is London bureau chief of CBS.MarketWatch.com.,3.25
train,The commission estimates California lost $1.34 billion -- the most of any state -- to tax shelters in 2001.,The Philadelphia Stock Exchange's semiconductor index .SOXX jumped 6.10 percent.,4.4
train,Bremer said one initiative is to launch a $70 million nationwide program in the next two weeks to clean up neighborhoods and build community projects.,"""Spending taxpayer dollars to create terrorism betting parlors is as wasteful as it is repugnant,"" Wyden and Dorgan said Monday in a letter to the Pentagon.",3.75
train,The officials did not say whether U.S. forces crossed into Syrian territory and were vague about how the Syrian border guards became involved.,"But the inadequate performance of students in various subgroups, such as race, pushed the state onto the needs-improvement list under the federal No Child Left Behind Act.",3.6
train,The blaze then spread to several surrounding structures on the property and destroyed them.,"Junya Tanase, forex strategist at JP Morgan Chase, said ""I expect Japan to keep conducting intervention, but the volume is likely to fall sharply.""",3.75
train,Vice President Dick Cheney and Mississippi Republican gubernatorial candidate Haley Barbour acknowledge the cheering crowd.,"The dollar was at 117.85 yen against the Japanese currency, up 0.1 percent.",4.25
train,Meningitis is an infection of the spinal cord fluid and the tissue around the brain.,"The technique is used during the second and, occasionally, third trimester of pregnancy.",3.643
train,"Richard Miller remained hospitalized after undergoing a liver transplant, but his wife has recovered.",The company has publicly identified Linux as one of its biggest competitive threats.,1.9
train,"""IT is the only vehicle on which established economies will be able to compete,"" Barrett said.","Along with Boston, Watertown, Saugus and Framingham also are going smoke-free Monday.",3.0
train,"The hearing occurred a day after the Pentagon for the first time singled out an officer, Dallager, for not addressing the scandal.","Those talks have not taken place, according to an Oracle spokeswoman.",5.0
train,"""It was a little bit embarrassing the way we played in the first two games,"" Thomas said.","As Sayliyah was the command base for the Iraq war, but hundreds who ran the war have returned to the United States.",3.8
train,"Two convicted killers and another inmate escaped from a state prison on a busy street Wednesday by cutting through a fence, a Corrections Department official said.","Next week, John S. Reed, the former Citicorp chief executive who Sunday became interim chairman and chief executive of the exchange, will take up his position.",2.0
train,"In 2006, the group says the market will rebound 29.6 percent to $21.3 billion in sales.","Palm said on Wednesday it plans to buy Handspring, a company created by renegade Palm co-founder Jeff Hawkins.",3.4
train,"Druce is still being held at the prison and is now in isolation, she said.","The military said it had killed 16 rebels and captured nine in the campaign so far, with one soldier killed and six wounded.",3.4
train,"The valid signatures of 897,158 registered California voters must be collected and turned in to county election officials by Sept. 2.",Druce last night was held in isolation at the same prison.,5.0
train,Shiites make up 20 percent of the country's population.,"For the 12-month period ending June 30, high-speed lines installed in homes and businesses increased by 45 percent.",3.4
train,"Revenue rose 3.9 percent, to $1.63 billion from $1.57 billion.","But under cross-examination by O'Donnell's attorney, Lorna Schofield, Toepfer conceded she had ignored many of O'Donnell's suggestions and projects.",3.333
train,Agriculture ministers from more than one hundred nations are expected to attend the three-day Ministerial Conference and Expo on Agricultural Science and Technology sponsored by the U.S. Department of Agriculture.,"Waksal pleaded guilty to insider trading charges last year, and he is scheduled to be sentenced June 10.",1.4
train,"Shares of Littleton, Colorado-based EchoStar rose $1.63, or 5.3 percent, to $32.26 at 10:55 a.m.","Chante Jawaon Mallard, 27, is charged with murder and tampering with evidence.",2.0
train,"Yes, from today Flash memory purchased from AMD or Fujitsu will be branded Spansion.",The new products on the desktop side include the latest versions of Pylon Conduit and Pylon Pro.,4.4
train,"Bashir felt he was being tried by opinion not on the facts, Mahendradatta told Reuters.","He added: ""There is no doubt about the chemical programme, the biological programme and indeed the nuclear weapons programme.",2.75
train,Monkeypox is usually found only in central and western Africa.,"Both studies are published on Thursday in Nature, the British weekly science journal.",3.4
train,"Before it was removed, the site listed in broken English the rules for hackers who might participate.","Bush said U.S. and European Union leaders, at an annual Washington summit, agreed on the need to keep Iran from developing nuclear weapons.",3.0
train,ISRAELI soldiers knocked down empty mobile homes and water towers in 10 tiny West Bank settlement outposts overnight as part of a US-backed Mideast peace plan.,"Still, changes to IE ""may affect a large number of existing Web pages,"" according to the W3C's notice.",2.25
train,"""I came basically to Washington to establish relationships and to make sure that we are getting more federal money to California,"" Schwarzenegger said after meeting with congressional Republicans.","Gemstar shares moved higher on the news, closing up 2.6 percent at $5.49 on Nasdaq.",3.4
train,"Ms Lafferty's lawyer, Thomas Ezzell, told a Kentucky newspaper: ""My understanding of this is that there is a lower percentage of successful impregnations with frozen.",But the United States' ultimate goal was not just to topple Mr. Hussein but to stabilize the country and install a friendly government.,3.0
train,The mother also alleged in the lawsuit that she was sexually assaulted by one of the guards.,"Shares of Fox Entertainment Group Inc., News Corp.'s U.S. media and entertainment arm, fell 45 cents to $26.85 in New York Stock Exchange composite trading.",2.8
train,Stocks dipped lower Tuesday as investors opted to cash in profits from Monday's big rally despite a trio of reports suggesting modest improvement in the economy.,Amazon and the New York attorney general's office have already settled with one of the alleged e-mail forgers.,3.25
train,"Shares in BA were down 1.5 percent at 168 pence by 1420 GMT, off a low of 164p, in a slightly stronger overall London market.","Last Thursday, the RIAA sent a stiff copyright warning to Penn State's department of astronomy and astrophysics.",4.8
train,"Lowe's, with about half as many stores, reported a 33 percent increase in third-quarter profit behind a 12 percent jump in same-store sales.","Emile Laroza, 51, contracted SARS while working as a nurse at North York General Hospital, the epicentre of the second SARS outbreak.",4.0
train,"Bremer, 61, is a onetime assistant to former Secretaries of State William P. Rogers and Henry Kissinger and was ambassador-at-large for counterterrorism from 1986 to 1989.","His lawyer, a cousin, Basil Russin, did not attend the hearing and did not return phone messages.",4.75
train,"She survives him as do their four children -- sons Anthony and Kelly, daughters Linda Hope and Nora Somers -- and four grandchildren.",Domestic sales at both GM and No. 2 Ford Motor Co. declined more than predicted as a late summer sales frenzy prompted a larger-than-expected industry backlash.,3.25
train,"The Portuguese weather service said Europe's heatwave was caused by a mass of hot, dry air moving from the southeast.","The American Anglican Council, which represents Episcopalian conservatives, said it will seek authorization to create a separate province in North America because of last week's actions.",2.5
train,"Four versions of Windows operating systems are targeted: Windows NT, Windows 2000, Windows XP and Windows Server 2003.","Later this year, the command will send trainers with soldiers from four North African nations on patrolling and intelligence gathering missions.",3.0
train,"From Florida to Alaska, thousands of revelers vowed to push for more legal rights, including same-sex marriages.",The Fed also said the risks to the economy were biased toward weakness.,2.75
train,"The others were given copies of ""Dr. Atkins' New Diet Revolution"" and told to follow it.","Lay had refused to turn over the papers, asserting his Fifth Amendment right against self-incrimination.",4.25
train,This northern autumn US trainers will work with soldiers from four North African countries on patrolling and gathering intelligence.,"AFTRA, on the other hand, approved the merger by a whopping 75 percent.",4.0
train,Amazon also reported that the New York Attorney General's office had settled civil fraud charges with one of the spoofers it identified.,"But Merrill Lynch analyst Steven Milunovich said the ""somewhat ambiguous ruling"" by regulators might be a setback for Static Control depending on how it developed its competing product.",3.6
train,"SARS went on to claim the lives of 44 people in the Toronto area, including two nurses and a doctor.",He said police had identified the bodies of seven of the 14 bombers who launched five almost simultaneous raids Friday night.,3.0
train,This year the Audubon Society once again hosts its annual Christmas Bird Count.,"On Thursday, a Post article argued that a 50 basis point cut from the Fed was more likely.",3.417
train,"""I am proud that I stood against Richard Nixon, not with him,"" Kerry said.","That compares with January 2000, when laptops represented less than 25 percent of sales volume, NPD said.",2.6
train,"Hispanics, the fastest growing ethnic group in the US, have overtaken blacks to become the largest minority in the US, according to newly released government figures.",Democrats dominate the Assembly while Republicans control the Senate.,0.75
train,"Security experts are warning that a new mass-mailing worm is spreading widely across the Internet, sometimes posing as e-mail from the Microsoft founder.","An Ohio law that bans a controversial late-term abortion procedure is constitutionally acceptable and the state can enforce it, a federal appeals court ruled yesterday.",4.0
train,"The index, which measures activity in the service sector, climbed to 50.7 last month from 47.9 in March.",The other semifinal between Guillermo Coria of Argentina and Martin Verkerk of the Netherlands is also compelling.,3.8
train,"The government recently shelved peace talks with the MILF, being brokered by Malaysia, after a string of attacks, including three bombings, on Mindanao.",Klarman was arrested by FBI agents Monday morning at his home in New York.,1.667
train,The new research will be published soon in the Proceedings of the National Academy of Sciences.,Nations like Israel and Australia already have such status.,2.0
train,The department ordered an 18.2 percent reduction for Allstate Texas Lloyds and a 12 percent reduction for State Farm Lloyds.,The federal courts have ruled that the monument violates the constitutional ban against state-established religion.,2.0
train,He was tracked to Atlanta where he was arrested on Tuesday night.,"""There's very strong interest in getting money back to the ratepayers as quickly as possible,"" Commissioner Susan Kennedy said.",4.0
train,State Education Commissioner Kent King said Wednesday that the scores on the Missouri Assessment Program tests disappointed him.,"A new worm has been spreading rapidly across the Internet, sometimes pretending to be an e-mail from Microsoft Chairman Bill Gates, antivirus vendors said Monday.",1.75
train,He also said the academy will get its own internal report next week detailing the seriousness of the remaining problem.,"Shares jumped almost 7 percent in pre-open trading, rising to $18.26 from $17.05 at Tuesday's close.",4.4
train,"The drop in core wholesale prices in April reflected falling prices for cars, trucks, men's and boy's clothes and cigarettes.",A woman who underwent such an abortion could not be prosecuted under the bill.,4.0
train,"Waksal, in a letter to the court, said: ""I tore my family apart.","Under NASD regulations, Mr. Young can file a response and request a hearing before an NASD panel.",3.2
train,"Pataki praised Abraham's decision, and LIPA Chairman Richard Kessel said the cable should be kept in operation permanently.","She also pledged to bring peace to Iraq: ""Americans don't cut and run, we have to see this misadventure through.""",3.2
train,The report by the independent expert committee aims to dissipate any suspicion about the Hong Kong government's handling of the SARS crisis.,France Telecom shares dropped 3.6 percent while Orange surged 13 percent.,4.5
train,An arrest warrant claimed Bryant assaulted the woman June 30 at a hotel.,"There will be 9.3 million visitors to hot spots in 2003, up from 2.5 million in 2002, Gartner said.",3.6
train,"""What can I say to you?"" he told a crowd at a cemetery with a thousand headstones, many of them marking the graves of entire families.","Maximum sustained winds were around 40 mph, with stronger gusts.",3.75
train,"Critics say the law violates civil liberties, something House Judiciary Committee Chairman James Sensenbrenner, R-Wis., says he is sensitive to.","That's when officers threw him to the ground and handcuffed him, according to testimony.",3.2
