id,question_stem,choices,answerKey
9-419,Peat is an important factor when,"{'text': ['Crystals', 'Rocks', 'Salactites', 'Gemstones'], 'label': ['A', 'B', 'C', 'D']}",B
8-208,What doesn't eliminate waste?,"{'text': ['soldiers eat beans, so beans are planted when there is war', 'dogs eat kibble, so stores sell it', 'cats eat mice, so mice are afraid of cats', 'people have babies, so baby clothes are made'], 'label': ['A', 'B', 'C', 'D']}",A
9-782,Changes to the earth can be done as a result of,"{'text': ['having larger litters', 'finding a mate', 'eating more food', 'finding new food'], 'label': ['A', 'B', 'C', 'D']}",D
8-266,Which animal gives birth to live young?,"{'text': ['a mirror is unable to be dark', 'phone screens are barely reflective', 'a lilac door is easily seen', 'a black door is easily seen'], 'label': ['A', 'B', 'C', 'D']}",C
1366,The running of the bulls in mexico is a source of what type of energy for the object?,"{'text': ['heat', 'pressure', 'water', 'air'], 'label': ['A', 'B', 'C', 'D']}",C
8-82,which of these indicate non-living tree?,"{'text': ['the arctic circle', 'the south pole', 'the north pole', 'near the equator'], 'label': ['A', 'B', 'C', 'D']}",B
1154,"In the wilderness, light pollution is?","{'text': ['cause mayhem', 'sink them', 'speed them up', 'slow them down'], 'label': ['A', 'B', 'C', 'D']}",D
9-556,Which organism uses xylem for materials transport?,"{'text': ['Putting on sunscreen in a sunny place', 'Growing grass in a field', 'Having a drink of water on a warm day', 'Going for a walk outside'], 'label': ['A', 'B', 'C', 'D']}",A
9-173,"When the game console's power cable was attached to the wall, electricity ended up in","{'text': ['2017', '2015', '2012', '2009'], 'label': ['A', 'B', 'C', 'D']}",A
9-128,Using mirrors to focus collected light from heavenly bodies allows,"{'text': ['a big cooking spoon', 'a north facing item', 'a big chopping board', 'a big iron bender'], 'label': ['A', 'B', 'C', 'D']}",A
9-200,To naturally increase the amount of organic matter in soil add,"{'text': ['lack enough fluid to grow', 'cart essential substances around', 'are unessential for health', 'keep the body healthy'], 'label': ['A', 'B', 'C', 'D']}",D
9-917,"Mothers have many roles, one of which is","{'text': ['chance', 'rot', 'luck', 'magic'], 'label': ['A', 'B', 'C', 'D']}",C
1915,A battery converts chemical energy into,"{'text': ['mixing and heating edible items', 'putting water in a bowl', 'petting a small cat', 'rolling a ball on a floor'], 'label': ['A', 'B', 'C', 'D']}",A
7-1180,what can baking soda and vinegar do together?,"{'text': ['watery', 'the same', 'similar to object', 'full of life'], 'label': ['A', 'B', 'C', 'D']}",C
9-439,Which form can be made into a triangle?,"{'text': ['it stands tall with flowers', 'none of these', 'it is fresh and green with strong roots', 'it lies horizontally on the park grounds'], 'label': ['A', 'B', 'C', 'D']}",A
9-512,"Some birds have scooped beaks, but others have sharp beaks such as","{'text': ['Mice', 'Elephants', 'Raccoons', 'Hamsters'], 'label': ['A', 'B', 'C', 'D']}",C
1320,"The size of eyes matter relevant to sight and sight ability, given that","{'text': ['Large [Collect]', 'Long', 'Small', 'Short'], 'label': ['A', 'B', 'C', 'D']}",A
9-697,Rubber can protect from,"{'text': ['eat chicken', 'chew gum', 'eat raw sugar', 'drink soda'], 'label': ['A', 'B', 'C', 'D']}",B
9-795,what is sonar used for,"{'text': ['wolves', 'bugs', 'dogs', 'cats'], 'label': ['A', 'B', 'C', 'D']}",D
9-326,Why do  berries exist?,"{'text': ['the part by the fence', 'the part with the grass', 'the part by the pool', 'the part by the oak tree'], 'label': ['A', 'B', 'C', 'D']}",A
1908,Which type of energy is the most environmentally friendly?,"{'text': ['a belt buckle', 'a wooden table', 'a plastic cup', 'a paper plate'], 'label': ['A', 'B', 'C', 'D']}",B
8-210,the mantle is,"{'text': ['rot', 'quake', 'smoke', 'freeze'], 'label': ['A', 'B', 'C', 'D']}",C
7-332,What can explain that a body of water is a source of water?,"{'text': ['cut down trees and shrubs', 'drive a gas guzzling car', 'use Styrofoam plates and cups', 'cultivate dogwoods and oaks'], 'label': ['A', 'B', 'C', 'D']}",C
7-455,Melissa is creating a new product to quench people's thirst. She thinks it will be more popular if it is less flat. She decides to,"{'text': ['social status', 'environs', 'satellite reception', 'future'], 'label': ['A', 'B', 'C', 'D']}",A
7-975,A prickly pear absorbs nutrients from,"{'text': ['Light', 'Wind', 'Speed', 'Sound'], 'label': ['A', 'B', 'C', 'D']}",A
9-140,The ability that an oven has to turn ingredients into a moist cake come from its,"{'text': ['be grown in arctic environments', 'be used as kindling', 'fuel a steam locomotive', 'fuel an economy car'], 'label': ['A', 'B', 'C', 'D']}",A
94,Refraction,"{'text': ['a thing for information', 'these are all incorrect', 'a meal to eat', 'a floral plant life'], 'label': ['A', 'B', 'C', 'D']}",B
1695,You would use a seismometer if,"{'text': ['it can be drunk from', 'it is very thin', 'it holds up bright green leaves', 'it can hide in grass'], 'label': ['A', 'B', 'C', 'D']}",B
9-96,"If a glacier going past a dock brushed up against some large boulders there, the stones would","{'text': ['the headlights become more intense', 'the headlights recede into the dark', 'the headlights remain at a constant', 'the headlights turn off'], 'label': ['A', 'B', 'C', 'D']}",B
8-242,"If something consumes air, then","{'text': ['a student with freshly cooked food', 'a student with food containing preservatives', 'raw uncooked fish meal', 'a student with uncooked beef'], 'label': ['A', 'B', 'C', 'D']}",B
1102,The biggest things on the moon are,"{'text': ['flip the car over', 'help the car go faster', ""conflict with the driver's goal"", 'move the car sideways'], 'label': ['A', 'B', 'C', 'D']}",B
9-1125,"A beak is used for catching prey by some birds, like how they are used by","{'text': ['the arctic', 'soil', 'a tide pool', 'rivers'], 'label': ['A', 'B', 'C', 'D']}",C
9-33,"Deserts, Jungles, and Oceans have many different","{'text': ['mountains', 'earthquakes', 'volcanoes', 'caves'], 'label': ['A', 'B', 'C', 'D']}",A
278,A coal mine is what?,"{'text': ['They have horns', 'They speak English', 'They can fly', 'webbed feet'], 'label': ['A', 'B', 'C', 'D']}",A
8-81,I can use electrical energy to,"{'text': ['Lose shape', 'Become narrow', 'Become wider', 'Disappear Completely'], 'label': ['A', 'B', 'C', 'D']}",B
9-773,Where is the best place to shoot animals?,"{'text': ['trap the dangerous gases released by plants', 'protect plants from snow and frost', 'keep plants from getting warm', 'protect plants from mild weather'], 'label': ['A', 'B', 'C', 'D']}",C
9-1052,Thermometers,"{'text': ['a small squirrel falls from a tree and breaks its leg', 'a panda stops eating and falls into a coma', 'a dog is paralyzed and is unable to move', 'a vibrant cat is deceased after being hit by a car'], 'label': ['A', 'B', 'C', 'D']}",A
9-13,many vehicles emitting pollution into the air may occur when,"{'text': ['ice', 'soil', 'liquid water', 'plants'], 'label': ['A', 'B', 'C', 'D']}",A
7-1009,An incandescent light bulb requires a filament to,"{'text': [""around the crystal's area"", 'through any of its sides', 'in the room its in', 'in to a mirror at it'], 'label': ['A', 'B', 'C', 'D']}",C
8-446,Organisms require energy in order to do what?,"{'text': ['bacteria', 'trout', 'virus', 'tree'], 'label': ['A', 'B', 'C', 'D']}",A
9-328,What can melting glaciers deposit?,"{'text': ['nutrients', 'support', 'food', 'energy'], 'label': ['A', 'B', 'C', 'D']}",B
9-162,The worst place to leave a candy bar is,"{'text': ['moon', 'cloud', 'star', 'sky'], 'label': ['A', 'B', 'C', 'D']}",D
7-701,"If a creature wishes to hunt, which senses would be avoided?","{'text': ['quality', 'carbon dioxide', 'helium amounts', 'carbin dioyide levels'], 'label': ['A', 'B', 'C', 'D']}",A
9-1193,A kid having a preference is something like,"{'text': ['a Tree', 'a robot', 'a house', 'a car'], 'label': ['A', 'B', 'C', 'D']}",A
144,Matter in the gas phase has,"{'text': ['tug devices for locating directions', 'give false locations to planes', 'be a huge distraction', 'cause ships to crash'], 'label': ['A', 'B', 'C', 'D']}",D
9-722,"if a person is unable to stand cold weather, which of these should be avoided?","{'text': ['Air', 'Sunlight', 'Water', 'Plants'], 'label': ['A', 'B', 'C', 'D']}",A
7-285,One renewable fuel source is,"{'text': ['southwest is a good place to be', 'the land gently inclines in that direction', 'the world is mostly land', 'the land is supple'], 'label': ['A', 'B', 'C', 'D']}",A
8-40,When the scientist finally completed his new invention he thanked his,"{'text': ['a refrigerator that is running', 'a battery removed from a toy', 'a clock that is wound-up', 'a fuse that has blown'], 'label': ['A', 'B', 'C', 'D']}",B
7-948,A nail can attach to metals after it receives,"{'text': ['strengthen an organism', 'test an organism', 'eliminate an organism', 'eat an organism'], 'label': ['A', 'B', 'C', 'D']}",A
7-121,Extinction is the term for an organism which..?,"{'text': ['Southern cave crayfish', 'lobster', 'cod', 'salmon'], 'label': ['A', 'B', 'C', 'D']}",D
7-74,Thick feathers can be used for,"{'text': ['peregrine falcons', 'pelicans', 'toucans', 'snakes'], 'label': ['A', 'B', 'C', 'D']}",B
792,If electrical current is running,"{'text': ['are unable to decay', 'are able to regrow themselves', 'are broken down for good', 'broke, passed, will decay'], 'label': ['A', 'B', 'C', 'D']}",B
9-102,celestial bodies are known to,"{'text': ['refrigerator', 'closet', 'freezer', 'sunlight'], 'label': ['A', 'B', 'C', 'D']}",A
7-1090,"When a bird is living in a certain segment of the world, it can become part of that environment along with predators and food sources, the process being called what?","{'text': ['a forest', 'a dam', 'a mine', 'a solar panel'], 'label': ['A', 'B', 'C', 'D']}",C
1440,seasons change due to the earth's,"{'text': ['gallons', 'millimeters', 'dollars', 'pounds'], 'label': ['A', 'B', 'C', 'D']}",D
7-530,Beach balls contain,"{'text': ['A mysterious rumble off the coast of Japan', 'Someone farted in class', 'Kids were stomping on the floor', 'to track the buzz of a bee'], 'label': ['A', 'B', 'C', 'D']}",A
9-841,What causes the pull of gravity on a planet?,"{'text': ['the sands of Mars moving', 'the moon appearing larger in the night sky', 'a volcano erupting in Hawaii burning through a forest', 'a skyscraper being built'], 'label': ['A', 'B', 'C', 'D']}",B
7-912,slope is a measure of the difference in elevation from the top to the base of a,"{'text': ['calcium', 'rust', 'carbon', 'silicon'], 'label': ['A', 'B', 'C', 'D']}",A
1977,"A pupa creates cocoons in a stage of the life cycle, and eventually the insect will","{'text': ['under clear skies', 'in the clouds', 'during a storm', 'indoors'], 'label': ['A', 'B', 'C', 'D']}",C
9-234,What would you measure in a graduated cylinder?,"{'text': ['cutting an apple into slices', 'putting a jigsaw puzzle together', 'mixing cake ingredients together', 'applying coats of paint onto a wall'], 'label': ['A', 'B', 'C', 'D']}",C
9-283,"In the desert, a hawk may enjoy an occasional","{'text': ['a pool', 'freshwater body', 'a mountain', 'an ocean'], 'label': ['A', 'B', 'C', 'D']}",A
656,The water in the bowl was gone before the water,"{'text': ['milk was spilled', 'white juice spilled', 'bleach was spilled', 'was an illusion'], 'label': ['A', 'B', 'C', 'D']}",A
1844,a lighter object hue can lead to what?,"{'text': ['will make your face appear bigger', 'will make your face appear in macro', 'will make your wrinkles less obvious', 'will make it easier to see your pores'], 'label': ['A', 'B', 'C', 'D']}",A
7-713,When being pursued by a lion,"{'text': ['Bees', 'energy', 'Pollen', 'Honey'], 'label': ['A', 'B', 'C', 'D']}",A
9-616,What part of the backyard is cooler than the other parts?,"{'text': ['the desert is drier', 'the ocean is wet', 'there is more moisture in the air', 'the moisture is higher up'], 'label': ['A', 'B', 'C', 'D']}",D
8-405,"A balloon is filled with Helium, and then is opened and pressed up to someone's mouth to make a voice high, why does it do this?","{'text': ['your breath is air', 'your breath is dry', 'your breath beading up', 'your breath smells bad'], 'label': ['A', 'B', 'C', 'D']}",A
7-870,Condensation over night,"{'text': ['a backpack on its back', 'a calcium fortified internal structure', 'none of these', 'a shell of cotton'], 'label': ['A', 'B', 'C', 'D']}",C
9-1128,An example of a change in the Earth is,"{'text': ['dampen', 'circulate', 'cool', 'warm'], 'label': ['A', 'B', 'C', 'D']}",A
8-91,High can be visually represented by,"{'text': ['kilometer', 'centimeter', 'decameter', 'meter'], 'label': ['A', 'B', 'C', 'D']}",C
834,"If something is a raw material in a process, then that something is","{'text': ['death of trees', 'death of oceans', 'saline solutions', 'global warming'], 'label': ['A', 'B', 'C', 'D']}",B
8-173,What contains seeds,"{'text': ['a smooth sandy beach', 'a smooth river stone', 'a tall pine tree', 'a large sharp boulder'], 'label': ['A', 'B', 'C', 'D']}",C
8-458,What stores food for future use and is green?,"{'text': ['conditions which allow little if any heat to be produced or stored', 'temperatures that are colder than a tropical environment', 'cool air that flows in a circular pattern', 'wind chill that meets warm fronts on occasion'], 'label': ['A', 'B', 'C', 'D']}",B
7-674,"When producers create food in an ecosystem, a portion of the nutrients are","{'text': ['hike', 'wade', 'jog', 'skate'], 'label': ['A', 'B', 'C', 'D']}",A
8-78,"More carbon dioxide is in the air in the past decade than ever before, probably because","{'text': ['firewood', 'light bulb', 'wet dog', 'a book'], 'label': ['A', 'B', 'C', 'D']}",C
7-274,An echo is produced by what type of reflection of sound source?,"{'text': ['The number of freckles I have on my back', 'How long the road is', 'My weight loss in 6 months', 'how many marshmallows I can eat in 10 minutes'], 'label': ['A', 'B', 'C', 'D']}",D
9-527,When a wolf is buried what will happen to other wolves?,"{'text': ['glaciers tore out lakes', 'there are lots of swimmers', 'glaciers are in lakes', 'lakes are filled with eels'], 'label': ['A', 'B', 'C', 'D']}",D
8-447,Deer are less safe in the woods because wolves,"{'text': ['leads to extremely dry conditions', 'can lead to slippery grass', 'causes plants to wilt and die', 'causes black ice on bridges'], 'label': ['A', 'B', 'C', 'D']}",C
9-695,"John, who lives in Minnesota, noticed that the time between sunrise and sunset was the shortest it had been for an entire year. The month was most likely to be","{'text': ['water', 'plants.', 'fat', 'luck'], 'label': ['A', 'B', 'C', 'D']}",D
1111,Breaking a vase changes its,"{'text': ['wear layers', 'Run barefoot', 'Walk instead', 'Wear sandals'], 'label': ['A', 'B', 'C', 'D']}",D
8-262,Arctic animals often live on,"{'text': ['cave', 'beach', 'mountain', 'pond'], 'label': ['A', 'B', 'C', 'D']}",A
7-546,"When any two object strike with each other, the molecules of the outer of the two objects coming in contact could","{'text': ['noon', 'midnight', 'morning', 'evening'], 'label': ['A', 'B', 'C', 'D']}",C
8-347,The source of a type of energy we use is a,"{'text': ['toss plastic bottles in trash receptacles', 'use plastic knives and forks for every meal', 'scrap metal from old buildings is processed to be used for new construction', 'buy a less fuel efficient car'], 'label': ['A', 'B', 'C', 'D']}",A
9-134,Because a logging company has been working here the area has more,"{'text': ['experienced a large hurricane', 'experienced a serious thunderstorm', 'had a few arid days', 'had little rainfall for a week'], 'label': ['A', 'B', 'C', 'D']}",C
9-182,what does a barometer do to air pressure,"{'text': ['Is used for grinding metal', 'is an oil machine', 'is an electric Motor', 'is a battery operated machine'], 'label': ['A', 'B', 'C', 'D']}",A
7-748,A a switch turns something with batteies on because:,"{'text': ['cities', 'jungles', 'fields', 'oceans'], 'label': ['A', 'B', 'C', 'D']}",B
9-1143,Near which location would an anteater most likely live?,"{'text': ['has less matter than Earth', 'orbits around the sun', 'weighs more than Earth', 'has more mass than Earth'], 'label': ['A', 'B', 'C', 'D']}",B
7-436,Two animals with similar diets living in the same environments leads to them,"{'text': ['the water decreases', 'it stays same', 'the water increases', 'the water hardens'], 'label': ['A', 'B', 'C', 'D']}",B
9-1006,An example of feeling,"{'text': ['retailers make more money', 'retailers open new branches', 'retailers lose out on revenue', 'retailers double up on their stock'], 'label': ['A', 'B', 'C', 'D']}",B
7-64,"While many habitats support a great variety of life, and deserts are included, many animals","{'text': ['She will be able to fix her appearance to be more likely to receive help', 'She can use the makeup as camouflage', 'she can use the mirror to signal someone', 'She can break the mirror to use the pieces for a weapon'], 'label': ['A', 'B', 'C', 'D']}",B
876,Shorter periods of daylight happen,"{'text': ['small change', 'learn to fly', 'less of them', 'more of them'], 'label': ['A', 'B', 'C', 'D']}",A
1284,"when an animal's eyes grow, what happens","{'text': ['the area becomes damp', 'the surrounding land is underwater', 'the wind blows over trees', 'everything around burns down'], 'label': ['A', 'B', 'C', 'D']}",A
9-963,A car slowed down because of,"{'text': ['sense differences in atomic structure', 'sense differences in color', 'sense differences in atomic value', 'sense differences in material makeup'], 'label': ['A', 'B', 'C', 'D']}",D
8-462,Why should people conserve gas when fueling their cars?,"{'text': ['bark and canopies', 'a crystal lake', 'a snowy mountaintop', 'a small bird'], 'label': ['A', 'B', 'C', 'D']}",D
7-342,which of these would make an ideal object to drive in with a hammer?,"{'text': ['the push of a cat', 'fossil fuel products refined', 'the motion of atmosphere', 'the warmth of the sun'], 'label': ['A', 'B', 'C', 'D']}",A
7-243,Stars are,"{'text': ['have live births', 'eat only meat', 'incubate their food', 'incubate their young'], 'label': ['A', 'B', 'C', 'D']}",C
7-156,Which has renewable resources?,"{'text': ['Popcorn', 'Grass', 'Apple', 'A bison'], 'label': ['A', 'B', 'C', 'D']}",B
7-829,Where would a greenhouse best be used?,"{'text': ['he completed a lap', 'he made a good deal', 'he invented new circuits', 'he completed a circuit'], 'label': ['A', 'B', 'C', 'D']}",D
9-1077,A microscope can be placed against the sun and,"{'text': ['people', 'plants', 'kilograms', 'air'], 'label': ['A', 'B', 'C', 'D']}",A
9-207,An animal living in an environment lacking in food resources,"{'text': ['eye color', 'height', 'hair length', 'number of chromosomes'], 'label': ['A', 'B', 'C', 'D']}",D
7-842,"Over a period of years in direct heat and sunlight, a large boulder may be","{'text': ['the owl is invisible', 'the mouse is oblivious', 'the mouse is blind', 'the owl matches its background'], 'label': ['A', 'B', 'C', 'D']}",B
7-397,Burning natural gas can,"{'text': ['it will be confused', 'it might get too viscious', 'it will be scared', 'it might get overheated'], 'label': ['A', 'B', 'C', 'D']}",A
1045,coal is a resource that,"{'text': ['size', 'weight', 'distance', 'appearance'], 'label': ['A', 'B', 'C', 'D']}",A
578,Cardinals,"{'text': ['swell', 'float', 'die', 'burn'], 'label': ['A', 'B', 'C', 'D']}",C
9-725,Chimpanzees dig for insects with sticks; what is another example of using tools?,"{'text': ['Fish', 'Word of mouth', 'Knowledge', 'Boat'], 'label': ['A', 'B', 'C', 'D']}",A
9-1040,Earth is a similar material as,"{'text': ['nitrogen', 'Perfume', 'Oxygen', 'helium'], 'label': ['A', 'B', 'C', 'D']}",A
154,"If more pollution is released into the air, what happens to the planet's temperature?","{'text': ['bog animals may be thirsty', 'bog animals may search longer for nutrients', 'the bog produces more water', 'bog predators need more prey'], 'label': ['A', 'B', 'C', 'D']}",A
9-869,An example of a consumer would be,"{'text': ['sun', 'iron', 'sand', 'cafeteria'], 'label': ['A', 'B', 'C', 'D']}",A
384,"A tiny spark grows and the result tears through an area of nature and spreads through the mountains, consuming","{'text': ['friendships', 'habitat', 'survival', 'caloric needs'], 'label': ['A', 'B', 'C', 'D']}",D
8-217,The material that makes up iron nails is known as what on the table of elements?,"{'text': ['because it can only be used once', 'because it is hard to find', 'because the more it is used the more it costs', 'because it can mess up their engines'], 'label': ['A', 'B', 'C', 'D']}",D
1652,How can a woman's compact best help if she is lost on a mountain?,"{'text': ['lock them in their cage more', 'give up and get a new bird', 'try putting them on a diet', 'take away all their perches'], 'label': ['A', 'B', 'C', 'D']}",A
8-289,Seeds travel by,"{'text': ['a bed', 'education', 'inspiration', 'energy'], 'label': ['A', 'B', 'C', 'D']}",B
7-406,A consequence of polluting could be that,"{'text': ['dry sticks', 'dirt pile', 'berry bushes', 'dead leaves'], 'label': ['A', 'B', 'C', 'D']}",A
8-388,A magnet will stick to,"{'text': ['July', 'January', 'September', 'April'], 'label': ['A', 'B', 'C', 'D']}",C
7-749,"A storm rages for two weeks, and the rivers and lakes swell past their holding capacity, so","{'text': ['he gets bored easily', 'he likes having dinner', 'he hates eating peas', 'he likes blonde girls'], 'label': ['A', 'B', 'C', 'D']}",D
7-513,Which of these items is required for a deer to live,"{'text': ['retain energy', 'bear young', 'find food', 'take a nap'], 'label': ['A', 'B', 'C', 'D']}",A
852,Which doesn't contain water?,"{'text': ['fish become inedible', 'water tastes gross', 'papers report it', 'trash is overflowing'], 'label': ['A', 'B', 'C', 'D']}",A
155,An eagle will use their claws to catch which of the following?,"{'text': ['penguins laying eggs on ice', 'fish hiding in coral reefs', 'gulls dive bombing fish from the sea', 'ducks chasing prey underwater'], 'label': ['A', 'B', 'C', 'D']}",A
8-83,Moving your face further from a mirror,"{'text': ['dog', 'sun', 'human', 'dust'], 'label': ['A', 'B', 'C', 'D']}",B
7-30,"When the weather changes as it does from Christmas to Easter,","{'text': ['new ground to inhabit', 'a large fish eating a tree', 'a burst of fire from the future', 'a small crack in a tall mountain'], 'label': ['A', 'B', 'C', 'D']}",B
1107,As you look deeper into a Marbel you can see,"{'text': ['circle balls of hydrogen', 'travel through deep space', 'crash into each other', 'slingshot around the galaxy'], 'label': ['A', 'B', 'C', 'D']}",A
886,If I wanted to prevent a blister when running I can,"{'text': ['the dog enjoys being washed out', 'washing all the fur is easy', 'it takes hours to vacuum all of the fur', 'the fur is still attached to the skin'], 'label': ['A', 'B', 'C', 'D']}",C
7-11,Our eyes can help us with,"{'text': ['a light that needs a crank to be turned', 'a radio that needs four batteries', 'a computer that needs to be plugged in', 'a stove that works on gas'], 'label': ['A', 'B', 'C', 'D']}",C
9-307,"Lightness may be seen reflected more clearly and brighter off of lighter colored objects, so an example would be","{'text': ['sleep', 'do the same', 'pant', 'pace'], 'label': ['A', 'B', 'C', 'D']}",A
7-637,Without reliable sources of food or water,"{'text': ['paper plates', 'ceramic plates', 'solo cups', 'plastic forks'], 'label': ['A', 'B', 'C', 'D']}",A
8-44,What do rotating vanes on an electric fan do to air?,"{'text': ['clouds are a cloud source', 'ponds are a moisture source', 'air is a air source', 'fish are a fish source'], 'label': ['A', 'B', 'C', 'D']}",B
9-1150,"The sun is a source of which, first and foremost?","{'text': ['animals leave', 'it ceases existing', 'plants dry up', 'fish grow ill'], 'label': ['A', 'B', 'C', 'D']}",D
9-21,Carbon dioxide exists where it does because,"{'text': ['kittens', 'wolf pups', 'fox pups', 'dog pups'], 'label': ['A', 'B', 'C', 'D']}",D
7-1199,Cooking food requires,"{'text': ['a level of our planet', 'the planet closest to ours', 'a kind of rock found on Earth', 'the deepest part of our planet'], 'label': ['A', 'B', 'C', 'D']}",C
7-531,"When looking for a good renewable resource in order to avoid wasting anything that will eventually run out, a man decides to use","{'text': ['smoking less', 'switching to chewing', 'no filters', 'switching to e-cigs'], 'label': ['A', 'B', 'C', 'D']}",C
7-1084,"In order to better understand the world around us, specialists","{'text': ['disease', 'fecal matter', 'fuel', 'fertilizer'], 'label': ['A', 'B', 'C', 'D']}",D
7-420,Scales,"{'text': ['hard', 'clear', 'light', 'far away'], 'label': ['A', 'B', 'C', 'D']}",B
8-275,What can be used more than one time?,"{'text': ['new rock formation', 'a random break', 'an optical illusion', 'very long ago'], 'label': ['A', 'B', 'C', 'D']}",B
7-898,I can use a stopwatch to track,"{'text': ['broken', 'smoothed', 'sharpened', 'stained'], 'label': ['A', 'B', 'C', 'D']}",A
9-650,There are now many more people because of,"{'text': ['the arctic regions', 'all of these', 'tropical rain forest', 'the mangrove forest'], 'label': ['A', 'B', 'C', 'D']}",B
723,"If one mineral can scratch another mineral then that other mineral is softer than that one mineral, as can be tested with","{'text': ['Starvation', 'Perspiration', 'Fullness', 'happiness'], 'label': ['A', 'B', 'C', 'D']}",C
899,Poison causes harm to which of the following?,"{'text': ['milk', 'blue cheese', 'melted cheese', 'small pieces'], 'label': ['A', 'B', 'C', 'D']}",B
9-373,"If a river is rushing southwest on a sunny day, then it is safe to assume that","{'text': ['the mind needs time to digest', 'take a second to digest what I said', 'nutrients are being deconstructed', ""reader's digest is a body of works""], 'label': ['A', 'B', 'C', 'D']}",A
1386,An electric car causes,"{'text': ['212 degrees F.', '0 degrees C.', '39 degrees F.', '32 degrees C.'], 'label': ['A', 'B', 'C', 'D']}",A
9-195,Many animals that give birth to live young have,"{'text': ['the air may chill', 'the ground may freeze', 'the plants may die', 'the ground may warm'], 'label': ['A', 'B', 'C', 'D']}",A
7-647,An example of adapting to survive is,"{'text': ['raises the Fahrenheit of an object', 'lowers the Celsius of an object', 'causes the object to cool', 'causes the temperature of the object to descend'], 'label': ['A', 'B', 'C', 'D']}",C
7-321,Feeling sweaty is normal on the ocean because,"{'text': ['it has capacity to grow', 'it is home grown', 'it will grow into a life form', 'it was hatched from a shell'], 'label': ['A', 'B', 'C', 'D']}",D
9-1116,What does gravity cause substances on a planet?,"{'text': ['Bahamas', 'Nebraska', 'Florida', 'Mexico'], 'label': ['A', 'B', 'C', 'D']}",B
7-409,"if a person remotely controls a machine to do something, which of these is required?","{'text': ['plummeted', 'raised', 'stayed the same', 'fluctuated'], 'label': ['A', 'B', 'C', 'D']}",D
7-223,A car can be powered by all but,"{'text': ['exposed to extreme heat', 'frozen in an ice storm', 'crashed into a helicopter', 'melted by molten lava'], 'label': ['A', 'B', 'C', 'D']}",C
7-190,"If a wolf is unable to catch prey reliably, the wolf will","{'text': ['color pallete', 'weights', 'height', 'smell'], 'label': ['A', 'B', 'C', 'D']}",C
7-267,Quartz may produce rainbows when light is shined,"{'text': ['a ram will leap', 'a mouse will hide', 'a cheetah will fight', 'a giraffe will dash'], 'label': ['A', 'B', 'C', 'D']}",D
9-818,Water vapor is an example of what?,"{'text': ['A slab of rock', 'A bucket of sand', 'A glass of water', 'A bag of air'], 'label': ['A', 'B', 'C', 'D']}",B
7-588,"If a room is going to be humid, or dry, depends on how much water vapor is in the air, so if a room wants to be humid","{'text': ['they are endlessly available', 'inexpensive to store at home', ""free for everyone's use"", 'available to the public'], 'label': ['A', 'B', 'C', 'D']}",C
7-1076,Which uses gills to breathe?,"{'text': ['the mountains seem very close', 'the mountains are boring', 'the mountains look the same as from up close', 'the mountains seem smaller than in photographs'], 'label': ['A', 'B', 'C', 'D']}",A
585,What are a source of fibers?,"{'text': ['ice trays', 'solid water', 'warm water', 'buckets of oil'], 'label': ['A', 'B', 'C', 'D']}",C
84,A hawk would prefer this for lunch,"{'text': ['better the view', 'stronger the gravity', 'moon orbits you', 'gravitational force weakens'], 'label': ['A', 'B', 'C', 'D']}",C
8-8,Seed dispersal happened when the plant's seeds were,"{'text': ['The frog was getting burned by a heat lamp', 'the frog was unable to regulate its body temperature without an external heat source', 'The frog was using too much ice in its drinks', 'The water in the tank had dried up.'], 'label': ['A', 'B', 'C', 'D']}",C
9-1142,Why would happen if the screw was loose on a bicycle's tire?,"{'text': ['sold to a person in another country', 'genetically modified for pesticide resitance', 'destroyed by radiation during processing', 'planted in the same garden'], 'label': ['A', 'B', 'C', 'D']}",D
1237,"If a fox shuffles off the mortal coil, then that fox","{'text': ['water', 'soil', 'carbon dioxide', 'biodiversity'], 'label': ['A', 'B', 'C', 'D']}",D
7-584,Which of these items must be combined with a river to produce power?,"{'text': ['cold', 'burns', 'electricity', 'fire'], 'label': ['A', 'B', 'C', 'D']}",A
1034,Billy's new puppy had floppy ears. That might be because,"{'text': ['are mainly creatures like deer', 'require photosynthesis to survive', 'produce a thing called chlorophyll', 'make good money at work'], 'label': ['A', 'B', 'C', 'D']}",A
1921,do ecosystems remain the same?,"{'text': ['they eat a lot of rot', 'worms eat dead bodies', 'they enjoy eating carcasses and expel waste back to earth', 'worms enjoy eating dirt and decay'], 'label': ['A', 'B', 'C', 'D']}",A
930,Which is most likely to cause an animal to shiver?,"{'text': ['they should move out of their house', 'they should just stop trying to walk', 'they should try wearing slicker bottomed shoes', 'they should try putting down carpet or throw rugs'], 'label': ['A', 'B', 'C', 'D']}",A
7-248,Roads need repaved in spring because,"{'text': ['requires less force to move', 'requires minimal effort to move', 'requires more muscle power to shift', 'requires a light touch to move'], 'label': ['A', 'B', 'C', 'D']}",C
7-145,What covers over 90% of the Earth's surface and 0% of the moon's surface,"{'text': ['chrysanthemum', 'mistletoe', 'mushroom', 'mole'], 'label': ['A', 'B', 'C', 'D']}",D
8-480,"A person wants to buy some reusable equipment for the kitchen, so they get","{'text': ['ocean tides', 'animals', 'planet rotation', 'rotation of sun'], 'label': ['A', 'B', 'C', 'D']}",B
